oe1-x,oe1-y,oe1-z,oe1-rotx,oe1-roty,oe1-rotz,oe2-x,oe2-y,oe2-z,oe2-rotx,oe2-roty,oe2-rotz,oe3-x,oe3-y,oe3-z,oe3-rotx,oe3-roty,oe3-rotz,oe4-x,oe4-y,oe4-z,oe4-rotx,oe4-roty,oe4-rotz,oe5-x,oe5-y,oe5-z,oe5-rotx,oe5-roty,oe5-rotz,oe6-x,oe6-y,oe6-z,oe6-rotx,oe6-roty,oe6-rotz,intensity
18.2414,6.7892,-0.1387,-0.0008,-0.096,-6.3648,20.1522,-7.6745,-0.4046,-0.0037,0.0784,-14.5321,-13.3921,4.2378,0.223,-0.0102,0.0155,0.409,-10.3782,4.2721,5.542,-0.0066,0.0363,5.685,5.0325,3.2482,3.4154,-0.0251,-0.95,6.2464,4.7194,-13.6647,0.1149,-0.501,-8.2849,-12.7263,0
15.7429,-5.8485,-0.0772,-0.002,0.179,14.849,13.3542,19.2391,0.1154,0.0061,-0.0027,-9.2745,7.0789,18.476,-0.01,0.0088,-0.1669,16.4551,10.1648,-13.5526,4.7581,-0.0005,-0.1052,-2.171,3.9433,10.1602,0.0064,0.0485,0.7185,16.3735,5.795,8.606,0.862,1.1601,-5.8104,8.2482,0
0.17,0.4757,0.8153,-0.0038,-0.2316,-11.9435,0.7986,17.3662,-1.1727,0.006,0.0761,6.9106,4.5727,4.9306,0.2448,-0.0087,-0.0462,-16.6839,2.1986,-16.985,-4.9419,0.0003,0.1302,5.182,-2.8223,12.816,1.1621,0.2534,-1.6853,-16.9927,-5.8436,9.038,-0.5899,-0.7043,-2.395,9.1769,0
-19.1542,-4.5774,0.2305,0.0037,-0.0218,13.6414,-10.9939,-18.2736,0.9213,0.0038,-0.0549,-14.8985,9.4633,19.6001,-0.3869,0.0088,0.0965,3.3982,-8.572,-13.9432,-1.8232,0.0036,-0.1102,-1.2203,-4.7439,-18.5492,-3.5658,0.2595,-1.4326,0.5299,3.8299,-6.232,-0.1335,0.5668,-0.9079,-14.2468,0
18.3892,-14.3772,0.0165,-0.0035,-0.0616,8.1452,-10.8407,-17.7288,1.8372,0.0015,0.0052,-10.3654,3.2036,-18.6578,0.4341,0.0027,-0.2971,-16.0091,-2.0061,-13.5534,5.5387,0.0042,-0.2787,-3.6279,-7.2295,-16.1651,-2.0332,0.15,-0.3286,-9.6114,1.159,5.403,-0.1438,-0.6718,-6.7656,-11.3059,0
0.8295,18.5247,-0.164,0.0003,-0.3848,-17.6277,-1.6019,9.1572,0.0952,0.0067,0.0371,-1.9431,-5.7463,-2.6506,-0.3188,0.0024,-0.2393,-3.573,3.544,0.4601,-4.5496,-0.0029,-0.1164,-0.1612,-4.3133,3.2431,2.3002,0.3462,1.2262,-10.4448,8.1313,-17.9506,-0.3479,-0.3527,3.0027,3.5498,0
-17.0484,-12.3056,-0.7565,0.0027,-0.1139,16.551,-9.7038,2.8621,-1.4373,-0.0076,-0.0086,12.174,-3.8384,-4.3288,-0.4195,0.0035,0.1792,17.2822,10.8818,-1.471,3.9208,0.0039,-0.1386,3.8305,-6.3518,10.1432,1.0715,0.16,0.0947,-7.2759,5.0997,-4.1983,1.1951,-0.0057,-0.3905,-10.7349,0
-0.4484,12.7141,-0.8663,-0.0029,-0.3103,7.8393,-10.8268,-16.1621,-1.5726,-0.0043,0.0082,-9.7096,-2.1849,-5.7577,0.3955,0.0038,0.27,15.7959,4.4785,19.9099,5.4727,0.0025,0.1535,-0.4453,6.2787,-14.14,1.1254,-0.0438,-1.4538,7.2757,1.718,-3.3293,-0.9659,0.0662,0.2871,-3.8335,0
19.8053,3.8066,0.4209,0.0034,-0.0778,7.7014,12.7267,15.2727,1.6593,0.0025,0.0334,15.3288,2.2179,-12.783,0.2054,0.0058,0.2863,6.0034,-8.8809,0.4069,-0.308,0.0049,0.0809,3.6032,-0.8823,-0.7017,3.511,-0.1969,-1.7582,-17.2865,-9.4123,-3.8034,-0.4401,0.3346,-0.6169,17.7292,0
9.1785,10.68,-0.7243,-0.0041,0.1267,0.1056,4.79,-12.0185,0.4268,0.0075,0.0509,-18.8989,12.2408,9.7698,-0.0656,-0.0094,-0.009,-16.8077,9.617,3.4491,-2.7587,-0.007,0.1049,2.8951,-5.9931,-12.3402,0.5023,-0.0104,-0.5944,-11.6816,6.3124,12.1676,-0.0856,0.9306,-4.0552,10.0102,0
11.375,-13.4972,0.9338,-0.0027,0.2595,12.4017,-4.2979,-4.7335,-0.5075,0.0024,-0.0392,-16.282,5.2848,-1.4137,0.038,-0.0004,0.0878,5.3326,7.1856,-8.2072,-1.3179,0.0005,0.1775,-1.2412,5.4604,-19.584,-0.4347,0.2969,0.5523,1.0907,-7.3026,2.2969,0.9633,-1.1683,-1.8624,14.0376,0
